LVA-Nummer,Wochentag,Datum,Startzeit,Endzeit,Ort,Anmerkung,exam,test,tutorium
368.190,Mo.,04.03.24,08:30,10:00,HS 7,,False,False,False
368.190,Mo.,11.03.24,08:30,10:00,HS 16,,False,False,False
368.190,Mo.,18.03.24,08:30,10:00,HS 16,,False,False,False
368.190,Mo.,08.04.24,08:30,10:00,HS 16,,False,False,False
368.190,Mo.,15.04.24,08:30,10:00,HS 16,,False,False,False
368.190,Mo.,22.04.24,08:30,10:00,HS 19,,False,False,False
368.190,Mo.,29.04.24,08:30,10:00,HS 16,,False,False,False
368.190,Mo.,06.05.24,08:30,10:00,HS 19,,False,False,False
368.190,Mo.,13.05.24,08:30,10:00,HS 16,,False,False,False
368.190,Mo.,27.05.24,08:30,10:00,HS 16,,False,False,False
368.190,Mo.,03.06.24,08:30,10:00,HS 16,,False,False,False
368.190,Mo.,10.06.24,08:30,10:00,HS 19,,False,False,False
368.190,Mo.,17.06.24,08:30,10:00,HS 16,,False,False,False
368.190,Mo.,24.06.24,08:30,10:00,HS 19,,False,False,False
368.190,Mo.,24.06.24,15:30,17:00,BA 9910,,False,False,False
368.190,Di.,02.07.24,13:45,15:15,BA 9911,,False,False,False
368.190,Mi.,03.07.24,13:45,15:15,BA 9911,,False,False,False
368.190,Do.,04.07.24,13:45,15:45,HS 1,,False,False,False
368.190,Do.,04.07.24,13:45,15:45,HS 10,,False,False,False
368.190,Do.,04.07.24,13:45,15:45,HS 16,,False,False,False
368.190,Mo.,23.09.24,12:00,14:00,--,,False,False,False
368.190,Mo.,23.09.24,12:00,14:00,HS 2,,False,False,False
368.190,Mo.,25.11.24,09:15,11:45,HS 17,,False,False,False
379.012,Mi.,06.03.24,15:30,17:00,HS 13,findet in S2-157 statt,False,False,False
379.012,Mi.,13.03.24,15:30,17:00,S2-157,,False,False,False
379.012,Mi.,20.03.24,15:30,17:00,S2-157,,False,False,False
379.012,Mi.,10.04.24,15:30,17:00,S2-157,,False,False,False
379.012,Mi.,17.04.24,15:30,17:00,S2-157,,False,False,False
379.012,Mi.,24.04.24,15:30,17:00,S2-157,Vorlesungsaufzeichnung - Link siehe zoom,True,False,False
379.012,Mi.,08.05.24,15:30,17:00,S2-157,,False,False,False
379.012,Mi.,15.05.24,15:30,17:00,S2-157,fällt aus - Online Aufzeichnung wird bereit gestellt,False,False,False
379.012,Mi.,22.05.24,15:30,17:00,S2-157,Rechenbeispiele mit Löw-Baselli,False,False,False
379.012,Mi.,05.06.24,15:30,17:00,S2-157,,False,False,False
379.012,Mi.,12.06.24,15:30,17:00,S2-157,,False,False,False
379.012,Mi.,19.06.24,15:30,17:00,S2-157,,False,False,False
379.012,Mi.,26.06.24,15:30,17:00,S2-157,Kenntnisnachweis,False,False,False
379.012,Mo.,01.07.24,13:45,15:15,HS 19,Klausur - bitte in Kusss anmelden,True,False,False
379.012,Mo.,30.09.24,13:45,15:15,HS 19,Klausur - bitte in Kusss anmelden,True,False,False
379.012,Di.,04.02.25,13:45,15:15,HS 19,Klausur - bitte in Kusss anmelden,True,False,False
379.012,Di.,01.07.25,13:45,15:15,HS 19,Klausur - bitte in Kusss anmelden,True,False,False
239.141,Di.,12.03.24,13:45,15:15,HS 15,,False,False,False
239.141,Mi.,13.03.24,08:30,10:00,HS 19,,False,False,False
